author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,stopwords_removed,link_distance
ALL,ALL,de,560307,37509,417606,22.2669759257778,4,12,3.24674401914469,0,0.029856654511551,5.99019921386593E-05,0.000579132695407979,0.185362263990721,2.36156665743648,155,True,1
ALL,ALL,de,1186554,37650,376202,19.9841699867198,3,11,2.68651807178045,0,0.289982357329382,4.47970163562592E-05,0.00192541530776091,0.59922191442127,2.21374809190693,92,False,1
ALL,ALL,en,600492,18635,379337,40.7123155352831,6,11,2.9771911666068,0,0.0391414195798742,0.000106112336532324,0.000792718678608615,0.262719333171508,2.40178621461602,174,True,1
ALL,ALL,en,1336554,18783,301351,32.0876324335836,5,11,2.51357417001521,0,0.190570478045165,8.05907124229381E-05,0.00228835290652134,0.669552192435114,2.2459139945695,118,False,1
Nietzsche,Menschliches,en,42016,5760,36855,12.796875,4,14,3.33506100355,0,0.0735067764683652,0.000405533345527961,0.00214596885182029,0.0979467964808038,2.33485410235307,27,True,1
Kafka,Verwandlung,de,8991,2742,8311,6.0619985412108,2,9,3.67310588249695,0,0.238276375859726,0.000975586088502537,0.00597913190435533,0.0684568508497214,2.50200450540078,10,True,1
Nietzsche,Goetzen,en,14198,3580,12956,7.23798882681564,2,15,3.72686793383502,0,0.107349423865248,0.000762120719350201,0.00367297683056682,0.0595289008443282,2.60641215776274,19,True,1
Austen,Verstand,de,52313,6720,43356,12.9035714285714,4,16,3.32149864634051,0,0.0726821374314802,0.000345563954501416,0.00205762838853723,0.104232840519207,2.93759588143629,73,True,1
Austen,Anna,de,34971,5195,29431,11.330510105871,4,12,3.35171425680701,0,0.0941217735753938,0.000452862364106877,0.00256968351483062,0.106591667570933,2.21913296321723,17,True,1
Kafka,Amerika,en,42797,4924,33729,13.699837530463,4,7,3.11734026510289,0,0.147681548124397,0.000430178842970925,0.00297874330985142,0.162781440528473,1.98742494485285,6,True,1
Austen,Mansfield,en,69696,5189,53281,20.5361341298902,4,8,3.00102865723456,0,0.0559650656894196,0.000385777647432921,0.00205069802990338,0.183701167661611,2.56006880694445,70,True,1
Kafka,Schloss,de,46406,6963,39788,11.4284072957059,4,8,3.29264846903048,0,0.0990243689992615,0.000329356194373004,0.00216433795006756,0.116828784060926,2.15669097225782,16,True,1
Nietzsche,Zarathustra,en,44819,5460,33422,12.2424908424908,4,8,3.13462192689157,0,0.0976532888787664,0.000391099656814139,0.00280541233777369,0.18741352646971,2.31436067581193,29,True,1
Austen,Mansfield,de,72846,9272,60589,13.0692407247627,4,8,3.30249263175019,0,0.0856447740182334,0.000248381082173699,0.00168791756068732,0.108961920786091,2.23307328648941,27,True,1
Kafka,Amerika,de,41044,6986,34916,9.99599198396794,2,9,3.33648530315565,0,0.180674694171826,0.000334548296557224,0.00286166004401141,0.114751124532394,2.51024788032572,38,True,1
Nietzsche,Menschliches,de,38912,8419,35782,8.50029694738092,2,17,3.65716731360135,0,0.119686526741274,0.000315690544564732,0.00204608616635821,0.0648812539814985,2.43359974791156,26,True,1
Kafka,Schloss,en,51314,4256,38865,18.2636278195489,4,6,2.99355799899278,0,0.0747093642960073,0.000468631405499008,0.00240618084598213,0.182551047841609,2.43753170420176,51,True,1
Kafka,Verwandlung,en,9877,1878,8373,8.91693290734824,4,8,3.28647327125117,0,0.167209545038839,0.00121880238339615,0.00589468225045797,0.118008184941769,2.88562722838722,28,True,1
Nietzsche,Goetzen,de,11682,3862,10953,5.67219057483169,2,15,4.04952310286334,0,0.0787370885243622,0.000790031891933508,0.00342208062257151,0.0471879206165344,2.46701240049503,8,True,1
Nietzsche,Geburt,de,20364,5886,18845,6.40332993544003,2,10,3.89517877335763,0,0.06089965296146,0.000492042619537327,0.00253197605964887,0.0437062403756857,2.48603262948858,14,True,1
Hesse,Siddhartha,de,15903,3450,13730,7.95942028985507,2,10,3.55941390279056,0,0.151273582042324,0.000742289414962459,0.00388275440056836,0.107000894109906,2.28275513458638,10,True,1
Kafka,Prozess,de,30918,5387,26921,9.99480230183776,4,8,3.36014697814346,0,0.135914695397347,0.000438281704390615,0.00277797049293508,0.0984549227339976,2.40174814171782,24,True,1
Hesse,Demian,de,20447,5026,18796,7.47950656585754,2,10,3.65807072872803,0,0.0787716057156026,0.000529074587724528,0.00278352688000895,0.0704023882485886,2.55857322896596,24,True,1
Austen,Stolz,en,53739,4228,42165,19.945600756859,6,8,2.99984836408912,0,0.0547319082837168,0.000473224885018723,0.00223366040476223,0.160518018684605,2.88724327464713,90,True,1
Austen,Stolz,de,43868,5933,37452,12.6249789314006,4,8,3.31634642585063,0,0.0528112690014617,0.000390549051736745,0.00194860049613503,0.0861027349408761,4.35578320764504,165,True,1
Austen,Verstand,en,52617,4302,41261,19.1822408182241,5,9,3.01318971478096,0,0.0568820014406812,0.000468183654600223,0.00235525828250962,0.158051384959076,3.01921476587619,104,True,1
Austen,Anna,en,36629,3956,29975,15.1541961577351,4,9,3.13235105758796,0,0.0691265288449678,0.000539289594736458,0.00258603654618717,0.125634275560558,2.14395288554866,18,True,1
Nietzsche,Jenseits,en,29749,5593,26587,9.50724119435008,4,11,3.54946889722924,0,0.102843575773311,0.000455995152428768,0.00255511301108816,0.0664660787883296,2.19139408324832,8,True,1
Kafka,Prozess,en,35209,3257,26701,16.3960700030703,4,7,2.99808595963033,0,0.0981522755945493,0.000613851293281206,0.00310751077105051,0.183628404510964,5.58337400065353,250,True,1
Nietzsche,Zarathustra,de,40969,6740,32885,9.75816023738872,2,11,3.56350201207111,0,0.0720031284882834,0.000380454439310048,0.00250734066457756,0.139303742995649,2.32758805322931,28,True,1
Hesse,Steppenwolf,en,32649,5321,28818,10.8317985341101,4,8,3.38618235590857,0,0.0568033602175437,0.000448614844126446,0.00224963886910537,0.0847618955002498,2.18089465579447,8,True,1
Hesse,Camenzind,en,22395,4870,20590,8.45585215605749,4,17,3.67689666384531,0,0.0811647263834378,0.000549896603090656,0.00260514205051448,0.0503175601589702,2.90365225319637,40,True,1
Hesse,Siddhartha,en,17818,2496,14317,11.4719551282051,4,7,3.1857175890242,0,0.118991746169692,0.00087639037250369,0.00397049788925811,0.136462991483409,3.88157125488712,76,True,1
Hesse,Camenzind,de,21660,6411,20579,6.41990329121822,2,14,3.93987518040731,0,0.0943280795703912,0.000458710435388877,0.00251951783543483,0.0394835437081783,2.43095183769477,10,True,1
Hesse,Demian,en,22844,3706,19949,10.7657852131678,4,7,3.33958383858688,0,0.0734456646033773,0.000631637105450021,0.00278617491300808,0.0913753630869017,2.77042015799773,40,True,1
Nietzsche,Jenseits,de,27454,6920,25190,7.28034682080925,2,10,3.77609852905671,0,0.0872852973745361,0.000401286286362635,0.00219278031144409,0.0525866980677651,2.38022020871956,16,True,1
Hesse,Steppenwolf,de,31563,7771,29091,7.4870673015056,2,10,3.77594067770364,0,0.0689175003270812,0.000357309908315567,0.00203423439822598,0.0606469393381647,2.28463029779512,10,True,1
Nietzsche,Geburt,en,22200,4548,19909,8.75505716798593,4,11,3.63497325597072,0,0.0568499668305612,0.000579624561366194,0.00254224352959585,0.059996756423577,2.36844937648056,14,True,1
