author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,lin_reg_approximation,assortativity_coefficient,stopwords_removed,link_distance,fixed_token_count
Austen,Anna,de,25396,3104,14881,9.58827319587629,2,6,2.79007553381995,0,0.248385144080291,0.000577071416447437,0.00653717015924068,0.413847485466196,2.1460363091462,9,-1.12187733958384,-0.258536128947773,False,1,25396
Austen,Mansfield,de,25396,3615,15537,8.59585062240664,2,6,2.87726078313857,0,0.229235491330342,0.000519585049304891,0.00587812156174281,0.35469691867779,2.16479712237079,8,-1.17017556087769,-0.258320490953761,False,1,25396
Hesse,Steppenwolf,de,25396,4545,16684,7.34169416941694,2,6,2.8649105579572,0,0.28172547461296,0.000410501993827252,0.00653379923854111,0.379795563120483,2.17567688051185,7,-1.35900883794942,-0.225371230249183,False,1,25396
Hesse,Siddhartha,en,25396,2337,12918,11.0551989730424,3,5,2.67745792814814,0,0.185911882608369,0.000718397399635176,0.00715435150195686,0.47347122621326,2.20659783964956,14,-0.934902798908708,-0.31115085252833,False,1,25396
Hesse,Demian,de,25396,3500,15042,8.59542857142857,2,6,2.77656228310129,0,0.265342968094043,0.000507879440566408,0.0069228521283558,0.448905315951853,2.48597816978539,82,-1.20966958864094,-0.253738294358347,False,1,25396
Nietzsche,Jenseits,de,25396,4335,16520,7.62168396770473,2,8,2.89239632550542,0,0.343181630165837,0.000436740439765848,0.0069046398973937,0.404338415669809,2.16470540334303,7,-1.25358338815607,-0.21593108886137,False,1,25396
Hesse,Demian,en,25396,2739,13696,10.0007301935013,3,5,2.7104729429705,0,0.196522061856517,0.000624944443905919,0.00670223908394114,0.47677484887654,2.18498733586604,12,-1.05228722230257,-0.32260423079481,False,1,25396
Nietzsche,Goetzen,de,25396,4202,15923,7.57877201332699,2,9,2.8525714226152,0,0.426980102493674,0.000441088433956001,0.00738972294835779,0.40499950197703,2.15415765560418,19,-1.26349380743316,-0.192249841651981,False,1,25396
Kafka,Amerika,en,25396,2787,13621,9.77466810190169,2,6,2.78658271623637,0,0.185648310373397,0.000641501872975356,0.00627940125024435,0.423786689524267,2.16745047335524,11,-1.07643122334842,-0.316298535112392,False,1,25396
Kafka,Schloss,en,25396,2401,12879,10.7280299875052,3,6,2.7654182285159,0,0.141408527545395,0.000735897552528511,0.00618347614923557,0.435422722882566,2.14503432195911,14,-1.01733938364679,-0.336292877413598,False,1,25396
Austen,Verstand,en,25396,2378,13844,11.6433978132885,4,5,2.62988062286002,0,0.146193138732025,0.000685976693122904,0.00672262649700314,0.486255087192518,2.22798330713904,10,-0.978728167145422,-0.344740064676868,False,1,25396
Hesse,Steppenwolf,en,25396,3372,15113,8.9638196915777,2,6,2.69911283633729,0,0.281281250361252,0.00050418778526329,0.00700977491218827,0.473230599705949,2.24876509965687,6,-1.13826677890027,-0.29498961389617,False,1,25396
Nietzsche,Zarathustra,en,25396,2791,13877,9.94410605517736,2,6,2.71271226381778,0,0.241105312385109,0.000614095469278514,0.00696740781743496,0.491427701973057,2.1084339458918,6,-1.08293696772137,-0.282674990824334,False,1,25396
Nietzsche,Menschliches,de,25396,4036,16158,8.00693756194252,2,20,2.92670500808707,0,0.407428976962244,0.00047761651167255,0.00745197814229976,0.373258164859041,2.21424567003549,22,-1.22714656240865,-0.192285118864521,False,1,25396
Austen,Stolz,de,25396,3445,15630,9.07402031930334,2,7,2.83005449834718,0,0.229986122069698,0.000531529043957938,0.00620227802548674,0.372263785808722,2.24240936000982,16,-1.1350487030208,-0.257711013376186,False,1,25396
